Number,Protocol,Source MAC,Destination MAC,Source IP,Destination IP,Data Length (bytes)
1346,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1347,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1348,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1349,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1350,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1351,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1352,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1353,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1354,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1355,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1356,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1357,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1358,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1359,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1360,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1361,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1362,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1363,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1364,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1365,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1366,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1367,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1368,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1180
1369,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,93
1370,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,60
1371,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,106
1372,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.208.65,172.16.29.3,154
1373,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.208.65,172.16.29.3,1354
1374,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.208.65,54
1375,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.208.65,172.16.29.3,1354
1376,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.208.65,172.16.29.3,262
1377,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.208.65,54
1378,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.208.65,172.16.29.3,85
1379,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.208.65,172.16.29.3,93
1380,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.208.65,54
1381,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.208.65,93
1382,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.208.65,172.16.29.3,60
1383,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.208.65,172.16.29.3,60
1384,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,429
1385,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,89
1386,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,85
1387,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,93
1388,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1389,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,93
1390,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,66
1391,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1392,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1393,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,66
1394,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,54
1395,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,631
1396,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,60
1397,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,266
1398,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,118
1399,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,140
1400,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,506
1401,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,60
1402,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,618
1403,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,85
1404,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,54
1405,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,85
1406,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,60
1407,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,508
1408,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,85
1409,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,54
1410,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,93
1411,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,93
1412,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,706
1413,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,322
1414,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,441
1415,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,1392
1416,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,60
1417,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,60
1418,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,60
1419,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,60
1420,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,160
1421,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1354
1422,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,1175
1423,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,93
1424,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1425,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,93
1426,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,60
1427,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,172
1428,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,1354
1429,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,685
1430,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,60
1431,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,60
1432,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,60
1433,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,302
1434,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,404
1435,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,54
1436,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,266
1437,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,93
1438,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,54
1439,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,93
1440,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,60
1441,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,438
1442,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,251
1443,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,54
1444,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,319
1445,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,93
1446,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,54
1447,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,93
1448,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,60
1449,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,54
1450,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1451,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.227,54
1452,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1453,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,54
1454,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1455,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,54
1456,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,54
1457,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.208.65,54
1458,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,54
1459,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.133,54
1460,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,54
1461,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.228,54
1462,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1463,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,60
1464,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1465,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,60
1466,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.227,172.16.29.3,60
1467,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,54
1468,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.227,54
1469,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1470,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
1471,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.208.65,172.16.29.3,60
1472,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,60
1473,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1474,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,54
1475,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.208.65,54
1476,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,54
1477,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.133,172.16.29.3,60
1478,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,60
1479,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
1480,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1481,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.228,172.16.29.3,60
1482,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.142,172.16.29.3,60
1483,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.133,54
1484,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,54
1485,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,54
1486,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1487,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.228,54
1488,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.142,54
1489,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,60
1490,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1491,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,1392
1492,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,106
1493,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,66
1494,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,66
1495,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1496,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,635
1497,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1498,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,266
1499,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,118
1500,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,140
1501,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,596
1502,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,1354
1503,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,251
1504,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,618
1505,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,85
1506,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1507,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,85
1508,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1509,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1510,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1511,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,499
1512,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,721
1513,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1514,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,100
1515,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,302
1516,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1517,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,93
1518,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,93
1519,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1520,TCP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,74.125.133.188,55
1521,TCP,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,74.125.133.188,172.16.29.3,66
1522,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,74.125.133.189,172.16.29.3,106
1523,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,74.125.133.189,54
1524,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,74.125.133.189,172.16.29.3,106
1525,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,74.125.133.189,54
1526,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1527,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1528,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1529,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,74.125.133.189,172.16.29.3,106
1530,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,74.125.133.189,54
1531,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,74.125.133.189,172.16.29.3,106
1532,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,74.125.133.189,54
1533,HTTP,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,46.228.135.172,172.16.29.3,60
1534,HTTP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,46.228.135.172,54
