Number,Protocol,Source MAC,Destination MAC,Source IP,Destination IP,Data Length (bytes)
1179,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,85
1180,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,60
1181,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,60
1182,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,618
1183,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,60
1184,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
1185,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,54
1186,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,409
1187,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,339
1188,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,54
1189,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,248
1190,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,93
1191,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,54
1192,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,688
1193,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.234,93
1194,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,85
1195,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,54
1196,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,93
1197,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,93
1198,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.234,172.16.29.3,60
1199,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.228,350
1200,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,216.58.210.66,172.16.29.3,60
1201,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.228,172.16.29.3,60
1202,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.228,172.16.29.3,120
1203,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.228,172.16.29.3,85
1204,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.228,54
1205,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.228,172.16.29.3,93
1206,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.228,93
1207,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.228,172.16.29.3,60
1208,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,1392
1209,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.210.66,1392
1210,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,192.168.100.4,74
1211,UDP,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,192.168.100.4,172.16.29.3,111
1212,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,1392
1213,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,66
1214,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,66
1215,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1216,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,571
1217,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1218,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
1219,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,1392
1220,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
1221,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1222,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1235
1223,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,118
1224,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,140
1225,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,1354
1226,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,98
1227,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1228,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,618
1229,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1230,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,85
1231,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,85
1232,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1233,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
